ServiceName
General Consultation
Follow-up Consultation
Emergency Consultation
Blood Test
Complete Blood Count (CBC)
Lipid Profile
Liver Function Test
Kidney Function Test
Thyroid Function Test
Urine Test
X-Ray (Chest)
X-Ray (Limb)
MRI Scan
CT Scan
Ultrasound Abdomen
ECG
Echocardiography
Stress Test (TMT)
Vaccination
Dental Cleaning
Tooth Extraction
Root Canal Treatment
Orthodontic Consultation
Physiotherapy Session
Neurology Consultation
Cardiology Consultation
Dermatology Consultation
ENT Checkup
Eye Checkup
Gastroenterology Consultation
Pulmonology Consultation
Gynecology Consultation
Obstetric Ultrasound
Pediatric Consultation
Orthopedic Fracture Treatment
Wound Dressing
Minor Surgery
Dialysis Session
Chemotherapy Session
Radiology Report Review
Nutritional Counseling
Psychiatric Evaluation
Speech Therapy Session
Hearing Test (Audiometry)
Allergy Test
Skin Biopsy
Endoscopy
Colonoscopy
